"Cittadinanza","Genere","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Afghanistan","Femmine",6.00,6.00,6.00,6.00,1.00,0.00,6.00,6.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,6.00,2.00
"Afghanistan","Maschi",7.00,7.00,6.00,6.00,6.00,0.00,6.00,7.00,5.00,5.00,5.00,5.00,5.00,6.00,5.00,6.00,3.00,3.00,10.00,14.00,22.00,30.00,59.00,102.00,99.00,159.00,146.00
"Albania","Femmine",7.00,7.00,7.00,7.00,19.00,0.00,62.00,95.00,128.00,162.00,255.00,451.00,564.00,840.00,1166.00,1339.00,1286.00,1570.00,1845.00,1999.00,2045.00,2070.00,2266.00,2429.00,2531.00,2705.00,2700.00
"Albania","Maschi",15.00,13.00,12.00,12.00,43.00,0.00,180.00,243.00,310.00,369.00,582.00,916.00,1012.00,1365.00,1831.00,1901.00,1575.00,2102.00,2428.00,2476.00,2484.00,2538.00,2746.00,2854.00,2910.00,3100.00,3046.00
"Algeria","Femmine",20.00,19.00,20.00,22.00,18.00,0.00,34.00,41.00,40.00,44.00,45.00,57.00,68.00,70.00,82.00,91.00,92.00,105.00,124.00,143.00,154.00,164.00,190.00,213.00,210.00,216.00,207.00
"Algeria","Maschi",54.00,62.00,68.00,80.00,38.00,0.00,184.00,198.00,195.00,207.00,271.00,395.00,410.00,449.00,512.00,457.00,286.00,345.00,396.00,406.00,420.00,435.00,441.00,454.00,457.00,462.00,426.00
"Altre nazioni o n.d.","Femmine",72.00,67.00,65.00,61.00,0.00,74.00,10.00,56.00,51.00,45.00,0.00,0.00,2.00,2.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Altre nazioni o n.d.","Maschi",96.00,97.00,96.00,94.00,0.00,127.00,5.00,88.00,81.00,75.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Andorra","Maschi",0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Angola","Femmine",0.00,0.00,0.00,3.00,8.00,0.00,8.00,9.00,9.00,10.00,13.00,12.00,14.00,16.00,23.00,26.00,23.00,22.00,20.00,17.00,16.00,15.00,18.00,17.00,18.00,25.00,24.00
